股票代號,股票名稱,2021上市上櫃
1589,永冠-KY,1
1590,亞德客-KY,1
1591,駿吉-KY,2
1592,英瑞-KY,1
1593,祺驊,2
1595,川寶,2
1597,直得,1
1598,岱宇,1
1599,宏佳騰,2
1603,華電,1
1604,聲寶,1
1605,華新,1
1608,華榮,1
1609,大亞,1
1611,中電,1
1612,宏泰,1
1614,三洋電,1
1615,大山,1
1616,億泰,1
1617,榮星,1
1618,合機,1
1626,艾美特-KY,1
1701,中化,1
1702,南僑,1
1707,葡萄王,1
1708,東鹼,1
1709,和益,1
1710,東聯,1
1711,永光,1
1712,興農,1
1713,國化,1
1714,和桐,1
1717,長興,1
1718,中纖,1
1720,生達,1
1721,三晃,1
1722,台肥,1
1723,中碳,1
1725,元禎,1
1726,永記,1
1727,中華化,1
1730,花仙子,1
1731,美吾華,1
1732,毛寶,1
1733,五鼎,1
1734,杏輝,1
1735,日勝化,1
1736,喬山,1
1737,臺鹽,1
1742,台蠟,2
1752,南光,2
1760,寶齡富錦,1
1762,中化生,1
1773,勝一,1
1776,展宇,1
1777,生泰,2
1781,合世,2
1783,和康生,1
1784,訊聯,2
1785,光洋科,2
1786,科妍,1
1788,杏昌,2
1789,神隆,1
1795,美時,1
1796,金穎生技,2
1799,易威,2
1802,台玻,1
1805,寶徠,1
1806,冠軍,1
1808,潤隆,1
1809,中釉,1
1810,和成,1
1813,寶利徠,2
1815,富喬,2
1817,凱撒衛,1
1903,士紙,1
1904,正隆,1
1905,華紙,1
1906,寶隆,1
1907,永豐餘,1
1909,榮成,1
2002,中鋼,1
2006,東和鋼鐵,1
2007,燁興,1
2008,高興昌,1
2009,第一銅,1
2010,春源,1
2012,春雨,1
2013,中鋼構,1
2014,中鴻,1
2015,豐興,1
2017,官田鋼,1
2020,美亞,1
2022,聚亨,1
2023,燁輝,1
2024,志聯,1
2025,千興,1
2027,大成鋼,1
2028,威致,1
2029,盛餘,1
2030,彰源,1
2031,新光鋼,1
2032,新鋼,1
2033,佳大,1
2034,允強,1
2035,唐榮,2
2038,海光,1
2049,上銀,1
2059,川湖,1
2061,風青,2
2062,橋椿,1
2063,世鎧,2
2064,晉椿,2
2065,世豐,2
2066,世德,2
2067,嘉鋼,2
2069,運錩,1
2070,精湛,2
2101,南港,1
2102,泰豐,1
2103,台橡,1
2104,國際中橡,1
2105,正新,1
2106,建大,1
2107,厚生,1
2108,南帝,1
2109,華豐,1
2114,鑫永銓,1
2115,六暉-KY,1
2201,裕隆,1
2204,中華,1
2206,三陽工業,1
2207,和泰車,1
2208,台船,1
2211,長榮鋼,1
2221,大甲,2
2227,裕日車,1
2228,劍麟,1
2230,泰茂,2
2231,為升,1
2233,宇隆,1
2235,謚源,2
2236,百達-KY,1
2239,英利-KY,1
2241,艾姆勒,1
2243,宏旭-KY,1
2247,汎德永業,1
2250,IKKA-KY,1
2301,光寶科,1
2302,麗正,1
2303,聯電,1
2305,全友,1
2308,台達電,1
2312,金寶,1
2313,華通,1
2314,台揚,1
2316,楠梓電,1
2317,鴻海,1
2321,東訊,1
2323,中環,1
2324,仁寶,1
2327,國巨,1
2328,廣宇,1
2329,華泰,1
2330,台積電,1
2331,精英,1
2332,友訊,1
2337,旺宏,1
2338,光罩,1
2340,光磊,1
2342,茂矽,1
2344,華邦電,1
2345,智邦,1
2347,聯強,1
2348,海悅,1
2349,錸德,1
2351,順德,1
2352,佳世達,1
2353,宏碁,1
2354,鴻準,1
2355,敬鵬,1
2356,英業達,1
2357,華碩,1
2358,廷鑫,1
2359,所羅門,1
2360,致茂,1
2362,藍天,1
2363,矽統,1
2364,倫飛,1
2365,昆盈,1
2367,燿華,1
2368,金像電,1
2369,菱生,1
2371,大同,1
2373,震旦行,1
2374,佳能,1
2375,凱美,1
2376,技嘉,1
2377,微星,1
2379,瑞昱,1
2380,虹光,1
2382,廣達,1
2383,台光電,1
2385,群光,1
2387,精元,1
2388,威盛,1
2390,云辰,1
2392,正崴,1
2393,億光,1
2395,研華,1
2397,友通,1
2399,映泰,1
2401,凌陽,1
2402,毅嘉,1
2404,漢唐,1
2405,浩鑫,1
2406,國碩,1
2408,南亞科,1
2409,友達,1
2412,中華電,1
2413,環科,1
2414,精技,1
2415,錩新,1
2417,圓剛,1
2419,仲琦,1
2420,新巨,1
2421,建準,1
2423,固緯,1
2424,隴華,1
2425,承啟,1
2426,鼎元,1
2427,三商電,1
2428,興勤,1
2429,銘旺科,1
2430,燦坤,1
2431,聯昌,1
2433,互盛電,1
2434,統懋,1
2436,偉詮電,1
2438,翔耀,1
2439,美律,1
2440,太空梭,1
2441,超豐,1
2442,新美齊,1
2443,億麗,1
2444,兆勁,1
2449,京元電子,1
2450,神腦,1
2451,創見,1
2453,凌群,1
2454,聯發科,1
2455,全新,1
2456,奇力新,1
2457,飛宏,1
2458,義隆,1
2459,敦吉,1
2460,建通,1
2461,光群雷,1
2462,良得電,1
2464,盟立,1
2465,麗臺,1
2466,冠西電,1
2467,志聖,1
2468,華經,1
2471,資通,1
2472,立隆電,1
2474,可成,1
2476,鉅祥,1
2477,美隆電,1
2478,大毅,1
2480,敦陽科,1
2481,強茂,1
2482,連宇,1
2483,百容,1
2484,希華,1
2485,兆赫,1
2486,一詮,1
2488,漢平,1
2489,瑞軒,1
2491,吉祥全,1
2492,華新科,1
2493,揚博,1
2495,普安,1
2496,卓越,1
2497,怡利電,1
2498,宏達電,1
2501,國建,1
2504,國產,1
2505,國揚,1
2506,太設,1
2509,全坤建,1
2511,太子,1
2514,龍邦,1
2515,中工,1
2516,新建,1
2520,冠德,1
2524,京城,1
2527,宏璟,1
2528,皇普,1
2530,華建,1
2534,宏盛,1
2535,達欣工,1
2536,宏普,1
2537,聯上發,1
2538,基泰,1
2539,櫻花建,1
2540,愛山林,1
2542,興富發,1
2543,皇昌,1
2545,皇翔,1
2546,根基,1
2547,日勝生,1
2548,華固,1
2596,綠意,2
2597,潤弘,1
2601,益航,1
2603,長榮,1
2605,新興,1
2606,裕民,1
2607,榮運,1
2608,嘉里大榮,1
2609,陽明,1
2610,華航,1
2611,志信,1
2612,中航,1
2613,中櫃,1
2614,東森,1
2615,萬海,1
2616,山隆,1
2617,台航,1
2618,長榮航,1
2630,亞航,1
2633,台灣高鐵,1
2634,漢翔,1
2636,台驊投控,1
2637,慧洋-KY,1
2640,大車隊,2
2641,正德,2
2642,宅配通,1
2643,捷迅,2
2701,萬企,1
2702,華園,1
2704,國賓,1
2705,六福,1
2706,第一店,1
2707,晶華,1
2712,遠雄來,1
2718,晶悅,2
2719,燦星旅,2
2722,夏都,1
2723,美食-KY,1
2724,富驛-KY,2
2726,雅茗-KY,2
2727,王品,1
2729,瓦城,2
2731,雄獅,1
2732,六角,2
2734,易飛網,2
2736,高野,2
2739,寒舍,1
2740,天蔥,2
2743,山富,2
2745,五福,2
2748,雲品,1
2752,豆府,2
